RECLOC,ORIG_CD,DEST_CD,DEP_DTML,ARR_DTML
101,Kolkata,Port Blair,08:35,10:55
551,Hyderabad,Ahmedabad,08:35,10:30
554,Hyderabad,Ahmedabad,18:20,20:05
719,Delhi,Ahmedabad,06:00,07:40
717,Delhi,Ahmedabad,15:30,17:05
713,Delhi,Ahmedabad,20:05,21:45
805,Lucknow,Ahmedabad,11:15,13:10
732,Lucknow,Ahmedabad,15:15,17:00
702,Kochi,Ahmedabad,13:50,16:30
365,Mumbai,Ahmedabad,07:40,08:55
569,Mumbai,Ahmedabad,19:25,20:40
412,Mumbai,Ahmedabad,22:40,00:05
701,Jaipur,Ahmedabad,08:55,10:15
801,Bengaluru,Ahmedabad,06:05,08:30
803,Bengaluru,Ahmedabad,19:00,21:15
801,Bengaluru,Ahmedabad,06:30,08:40
514,Chandigarh,Ahmedabad,10:45,12:45
912,Chandigarh,Ahmedabad,16:05,17:35
911,Chennai,Ahmedabad,07:30,10:00
911,Chennai,Ahmedabad,15:15,17:35
794,Goa,Ahmedabad,20:30,22:35
537,Kolkata,Ahmedabad,16:25,19:25
430,Hyderabad,Jaipur,10:55,12:15
390,Mumbai,Jaipur,05:45,07:45
390,Mumbai,Jaipur,05:45,07:45
702,Ahmedabad,Jaipur,17:05,18:45
702,Ahmedabad,Jaipur,17:10,18:30
383,Chennai,Jaipur,16:40,17:25
896,Hyderabad,Bengaluru,13:10,14:25
113,Delhi,Bengaluru,05:50,08:40
120,Delhi,Bengaluru,15:15,18:05
557,Delhi,Bengaluru,18:35,21:25
811,Nagpur,Bengaluru,06:00,07:40
810,Nagpur,Bengaluru,13:30,15:00
807,Lucknow,Bengaluru,11:15,14:00
806,Lucknow,Bengaluru,19:00,21:40
806,Lucknow,Bengaluru,19:35,22:10
410,Kochi,Bengaluru,14:20,15:20
517,Mumbai,Bengaluru,06:00,07:40
396,Mumbai,Bengaluru,21:00,22:45
271,Patna,Bengaluru,12:25,14:55
803,Port Blair,Bengaluru,15:15,17:55
802,Ahmedabad,Bengaluru,09:00,11:05
802,Ahmedabad,Bengaluru,09:10,11:25
805,Ahmedabad,Bengaluru,13:45,16:00
272,Ranchi,Bengaluru,13:40,16:05
895,Pune,Bengaluru,17:00,18:25
242,Pune,Bengaluru,18:45,20:15
403,Guwahati,Bengaluru,06:55,10:20
286,Goa,Bengaluru,14:00,15:10
143,Delhi,Ranchi,05:25,07:20
245,Delhi,Ranchi,08:55,10:40
145,Delhi,Ranchi,18:30,20:20
705,Mumbai,Ranchi,08:35,10:55
705,Mumbai,Ranchi,08:35,10:55
705,Mumbai,Ranchi,08:35,10:55
483,Mumbai,Ranchi,16:10,18:40
272,Patna,Ranchi,12:25,13:10
374,Bengaluru,Ranchi,11:30,14:00
381,Mumbai,Chandigarh,08:35,10:55
381,Mumbai,Chandigarh,08:35,10:55
381,Mumbai,Chandigarh,08:35,10:55
514,Patna,Chandigarh,07:25,09:45
911,Ahmedabad,Chandigarh,10:30,12:05
911,Ahmedabad,Chandigarh,10:30,12:10
912,Srinagar,Chandigarh,14:15,15:30
173,Delhi,Pune,08:00,10:15
275,Delhi,Pune,18:15,20:25
284,Nagpur,Pune,21:10,22:20
633,Ahmedabad,Pune,21:10,22:30
633,Ahmedabad,Pune,21:15,22:35
893,Bengaluru,Pune,15:00,16:30
241,Bengaluru,Pune,16:45,18:15
451,Chennai,Pune,21:00,22:45
414,Hyderabad,Guwahati,19:00,21:30
155,Bagdogra,Guwahati,16:00,16:50
153,Bagdogra,Guwahati,13:55,14:55
402,Bengaluru,Guwahati,15:50,19:00
951,Chennai,Guwahati,03:55,06:50
401,Kolkata,Guwahati,04:40,06:15
532,Kolkata,Guwahati,09:15,10:30
982,Bagdogra,Chennai,13:15,16:05
305,Mumbai,Chennai,05:45,07:40
303,Mumbai,Chennai,18:35,20:30
304,Port Blair,Chennai,11:00,13:10
1425,Ahmedabad,Chennai,13:45,16:05
912,Ahmedabad,Chennai,22:35,01:00
633,Pune,Chennai,23:00,00:45
382,Guwahati,Chennai,20:35,23:20
416,Guwahati,Chennai,22:00,01:00
635,Ahmedabad,Kannur,16:20,19:15
622,Bengaluru,Kannur,07:40,08:40
185,Delhi,Jammu,14:05,15:30
205,Leh,Jammu,09:25,10:30
213,Srinagar,Jammu,13:50,14:40
661,Hyderabad,Goa,08:30,09:55
367,Hyderabad,Goa,19:40,19:15
571,Hyderabad,Goa,20:00,21:25
834,Nagpur,Goa,17:55,22:50
591,Kochi,Goa,03:20,05:30
575,Mumbai,Goa,05:00,06:10
141,Mumbai,Goa,11:30,12:40
371,Mumbai,Goa,16:25,17:45
384,Mumbai,Goa,22:05,23:35
285,Bengaluru,Goa,15:45,17:15
367,Chandigarh,Goa,16:30,19:15
592,Kolkata,Goa,18:50,21:50
101,Delhi,Kolkata,05:45,08:00
127,Delhi,Kolkata,19:25,21:45
105,Delhi,Kolkata,20:55,23:10
761,Bhubaneswar,Kolkata,11:35,12:45
407,Bhubaneswar,Kolkata,23:35,00:50
537,Bagdogra,Kolkata,14:40,15:50
537,Bagdogra,Kolkata,14:45,16:00
942,Kochi,Kolkata,07:00,10:10
511,Mumbai,Kolkata,23:15,01:55
762,Patna,Kolkata,15:20,16:30
102,Port Blair,Kolkata,11:25,13:40
831,Bengaluru,Kolkata,15:50,18:20
830,Bengaluru,Kolkata,11:55,14:35
830,Bengaluru,Kolkata,12:10,14:35
546,Guwahati,Kolkata,11:00,12:20
406,Guwahati,Kolkata,19:35,21:10
128,Delhi,Srinagar,07:25,08:55
128,Delhi,Srinagar,09:15,10:45
911,Chandigarh,Srinagar,12:40,13:45
287,Jammu,Srinagar,14:10,14:55
697,Jammu,Srinagar,15:10,15:45
560,Delhi,Hyderabad,07:05,09:10
542,Delhi,Hyderabad,09:45,11:55
776,Bhubaneswar,Hyderabad,10:50,12:25
615,Mumbai,Hyderabad,06:20,07:40
617,Mumbai,Hyderabad,13:55,15:25
516,Bengaluru,Hyderabad,08:15,08:00
516,Bengaluru,Hyderabad,06:50,07:55
516,Bengaluru,Hyderabad,08:15,09:15
840,Vijayawada,Hyderabad,17:30,18:25
541,Tirupati,Hyderabad,14:15,15:20
545,Chennai,Hyderabad,19:15,20:35
667,Mumbai,Thiruvananthapuram,17:25,19:40
583,Bengaluru,Thiruvananthapuram,07:25,08:40
543,Hyderabad,Delhi,10:10,12:15
541,Hyderabad,Delhi,16:15,18:30
840,Hyderabad,Delhi,19:05,21:25
433,Varanasi,Delhi,15:30,16:55
428,Varanasi,Delhi,19:20,21:10
474,Bhubaneswar,Delhi,21:35,23:45
442,Aurangabad,Delhi,17:20,19:10
442,Aurangabad,Delhi,17:20,19:10
496,Rajkot,Delhi,19:30,21:10
880,Bagdogra,Delhi,13:55,16:15
880,Bagdogra,Delhi,13:50,16:15
812,Lucknow,Delhi,20:15,21:35
466,Kochi,Delhi,07:30,10:50
511,Kochi,Delhi,10:00,13:20
864,Mumbai,Delhi,07:00,09:10
806,Mumbai,Delhi,08:00,10:15
866,Mumbai,Delhi,09:00,11:30
809,Mumbai,Delhi,10:00,12:15
687,Mumbai,Delhi,16:00,18:15
660,Mumbai,Delhi,18:00,20:25
888,Mumbai,Delhi,19:00,21:15
452,Visakhapatnam,Delhi,07:50,10:20
486,Visakhapatnam,Delhi,12:30,14:45
488,Visakhapatnam,Delhi,15:15,17:45
454,Amritsar,Delhi,06:50,07:55
454,Amritsar,Delhi,06:50,07:55
3420,Leh,Delhi,08:20,09:45
3450,Leh,Delhi,08:20,09:45
890,Imphal,Delhi,16:00,18:40
408,Patna,Delhi,15:55,17:40
416,Patna,Delhi,19:10,20:55
476,Jodhpur,Delhi,14:55,16:20
486,Port Blair,Delhi,10:50,14:30
492,Jaipur,Delhi,13:30,14:30
505,Bengaluru,Delhi,10:00,12:45
501,Bengaluru,Delhi,13:20,16:10
503,Bengaluru,Delhi,17:00,19:50
503,Bengaluru,Delhi,17:00,19:45
505,Bengaluru,Delhi,10:00,12:45
501,Bengaluru,Delhi,13:20,16:10
468,Vijayawada,Delhi,20:40,22:55
418,Ranchi,Delhi,13:25,15:30
635,Indore,Delhi,09:15,11:10
820,Vadodara,Delhi,20:20,21:45
820,Vadodara,Delhi,20:20,21:45
820,Vadodara,Delhi,20:20,21:45
820,Vadodara,Delhi,20:20,21:45
852,Pune,Delhi,07:40,09:45
850,Pune,Delhi,18:50,20:55
854,Pune,Delhi,22:00,00:10
890,Guwahati,Delhi,16:05,18:40
892,Guwahati,Delhi,19:20,22:10
440,Chennai,Delhi,06:10,08:55
430,Chennai,Delhi,09:55,12:55
539,Chennai,Delhi,17:00,19:50
494,Surat,Delhi,07:45,09:15
490,Surat,Delhi,21:25,23:05
3426,Jammu,Delhi,12:15,13:50
822,Jammu,Delhi,15:45,17:10
438,Bhopal,Delhi,21:45,23:25
763,Kolkata,Delhi,07:00,09:15
701,Kolkata,Delhi,17:30,19:50
828,Srinagar,Delhi,09:25,14:15
826,Srinagar,Delhi,12:25,14:05
427,Delhi,Varanasi,17:15,18:40
433,Gaya,Varanasi,14:15,14:50
695,Mumbai,Varanasi,10:30,12:40
405,Khajuraho,Varanasi,15:15,16:10
780,Hyderabad,Bhubaneswar,13:05,14:35
473,Delhi,Bhubaneswar,18:40,21:00
473,Delhi,Bhubaneswar,18:40,21:00
669,Mumbai,Bhubaneswar,12:00,14:25
738,Bengaluru,Bhubaneswar,11:40,13:50
738,Bengaluru,Bhubaneswar,09:30,11:20
776,Kolkata,Bhubaneswar,09:10,10:20
581,Mumbai,Calicut,07:05,08:55
441,Delhi,Aurangabad,17:50,19:35
442,Mumbai,Aurangabad,15:30,16:45
497,Delhi,Rajkot,05:15,07:00
495,Delhi,Rajkot,17:15,19:00
655,Mumbai,Rajkot,15:55,17:05
879,Delhi,Bagdogra,11:20,13:15
721,Kolkata,Bagdogra,13:55,14:55
709,Kolkata,Dimapur,11:20,12:40
709,Kolkata,Dimapur,13:00,14:15
411,Delhi,Lucknow,07:10,08:10
431,Delhi,Lucknow,12:20,13:25
811,Delhi,Lucknow,18:30,19:40
625,Mumbai,Lucknow,08:25,10:30
466,Thiruvananthapuram,Kochi,06:05,06:50
512,Delhi,Kochi,14:10,17:10
512,Delhi,Kochi,14:10,17:55
509,Chennai,Kochi,08:35,09:25
616,Hyderabad,Mumbai,08:15,09:40
618,Hyderabad,Mumbai,17:00,18:35
668,Thiruvananthapuram,Mumbai,20:15,22:25
887,Delhi,Mumbai,07:00,09:05
665,Delhi,Mumbai,08:00,10:10
678,Delhi,Mumbai,09:00,11:10
865,Delhi,Mumbai,10:00,12:15
863,Delhi,Mumbai,13:00,15:10
624,Delhi,Mumbai,19:00,21:15
696,Varanasi,Mumbai,13:25,15:40
670,Bhubaneswar,Mumbai,14:55,17:20
582,Calicut,Mumbai,07:30,09:10
441,Aurangabad,Mumbai,20:20,21:35
441,Aurangabad,Mumbai,20:20,21:35
656,Rajkot,Mumbai,17:40,18:45
626,Lucknow,Mumbai,11:05,13:15
682,Kochi,Mumbai,08:15,10:15
650,Amritsar,Mumbai,18:00,20:25
646,Jodhpur,Mumbai,11:55,13:25
614,Ahmedabad,Mumbai,07:25,08:40
614,Ahmedabad,Mumbai,07:20,08:35
612,Jaipur,Mumbai,13:55,15:35
608,Bengaluru,Mumbai,17:25,19:05
610,Bengaluru,Mumbai,19:10,21:05
636,Indore,Mumbai,17:05,18:25
642,Chandigarh,Mumbai,15:30,18:10
644,Udaipur,Mumbai,16:20,17:50
569,Chennai,Mumbai,06:20,08:10
672,Chennai,Mumbai,14:55,16:50
672,Chennai,Mumbai,14:55,16:50
672,Chennai,Mumbai,14:55,16:50
507,Hubli,Mumbai,13:20,14:30
658,Coimbatore,Mumbai,13:40,15:25
634,Bhopal,Mumbai,08:05,09:30
632,Bhopal,Mumbai,21:35,23:25
684,Goa,Mumbai,07:00,08:10
664,Goa,Mumbai,15:20,16:30
662,Goa,Mumbai,18:45,20:05
676,Kolkata,Mumbai,09:25,12:25
680,Mangalore,Mumbai,12:40,14:25
485,Delhi,Visakhapatnam,05:30,07:40
487,Delhi,Visakhapatnam,06:55,09:05
451,Delhi,Visakhapatnam,15:00,17:15
486,Port Blair,Visakhapatnam,09:45,11:55
488,Port Blair,Visakhapatnam,12:30,14:35
651,Raipur,Visakhapatnam,12:30,13:35
453,Delhi,Amritsar,05:00,06:10
649,Mumbai,Amritsar,07:15,10:05
3419,Delhi,Leh,06:15,07:40
3449,Delhi,Leh,06:25,07:40
458,Chandigarh,Leh,10:15,11:10
450,Jammu,Leh,10:15,11:20
447,Srinagar,Leh,10:15,11:15
889,Delhi,Imphal,09:30,12:10
889,Guwahati,Imphal,12:45,13:45
715,Aizwal,Imphal,12:15,13:00
715,Aizwal,Imphal,12:15,13:00
713,Kolkata,Imphal,10:15,11:45
715,Kolkata,Imphal,11:20,12:40
713,Kolkata,Imphal,13:00,14:20
3713,Kolkata,Imphal,13:30,14:30
407,Delhi,Patna,13:45,15:20
415,Delhi,Patna,16:45,18:35
475,Delhi,Jodhpur,12:55,14:15
645,Mumbai,Jodhpur,09:35,11:20
485,Delhi,Port Blair,05:30,09:15
485,Visakhapatnam,Port Blair,08:15,10:05
487,Visakhapatnam,Port Blair,09:40,11:50
549,Chennai,Port Blair,05:05,07:20
551,Chennai,Port Blair,10:30,12:40
3549,Chennai,Port Blair,10:30,12:40
3787,Chennai,Port Blair,10:30,12:40
787,Kolkata,Port Blair,05:40,07:50
3707,Kolkata,Port Blair,21:15,23:15
491,Delhi,Jaipur,12:00,12:55
611,Mumbai,Jaipur,11:35,13:15
515,Hyderabad,Bengaluru,08:30,09:50
584,Thiruvananthapuram,Bengaluru,09:15,10:30
803,Delhi,Bengaluru,06:10,08:55
506,Delhi,Bengaluru,09:30,12:00
506,Delhi,Bengaluru,09:45,12:30
502,Delhi,Bengaluru,13:30,16:15
739,Bhubaneswar,Bengaluru,08:40,11:00
639,Mumbai,Bengaluru,09:15,11:10
607,Mumbai,Bengaluru,16:40,18:30
728,Guwahati,Bengaluru,17:50,21:05
563,Chennai,Bengaluru,13:25,14:35
563,Chennai,Bengaluru,14:20,15:20
771,Kolkata,Bengaluru,14:15,16:45
544,Hyderabad,Vijayawada,16:05,16:55
417,Delhi,Ranchi,11:10,12:50
636,Delhi,Indore,15:05,16:30
635,Mumbai,Indore,07:05,08:25
819,Delhi,Vadodara,17:45,19:35
819,Delhi,Vadodara,17:45,19:35
819,Delhi,Vadodara,17:45,19:35
819,Delhi,Vadodara,17:45,19:35
753,Kolkata,Silchar,05:50,07:00
753,Kolkata,Silchar,05:50,07:00
651,Mumbai,Raipur,10:05,11:50
457,Leh,Chandigarh,08:55,09:35
851,Delhi,Pune,04:55,07:05
849,Delhi,Pune,16:10,18:10
853,Delhi,Pune,19:00,21:10
471,Delhi,Udaipur,13:20,14:35
643,Mumbai,Udaipur,14:10,15:40
542,Hyderabad,Tirupati,12:35,13:35
585,Bengaluru,Belgaum,07:25,08:30
889,Delhi,Guwahati,09:30,12:10
890,Imphal,Guwahati,14:20,15:15
727,Bengaluru,Guwahati,13:50,16:55
3427,Dibrugarh,Guwahati,08:10,09:15
729,Kolkata,Guwahati,09:50,11:05
729,Kolkata,Guwahati,09:50,11:05
731,Kolkata,Guwahati,16:35,18:10
546,Hyderabad,Chennai,21:15,22:15
439,Delhi,Chennai,06:05,08:55
429,Delhi,Chennai,09:45,12:40
540,Delhi,Chennai,20:40,23:35
672,Madurai,Chennai,13:15,14:20
510,Kochi,Chennai,17:40,18:55
510,Kochi,Chennai,18:25,18:55
570,Mumbai,Chennai,05:55,08:05
671,Mumbai,Chennai,09:00,10:55
550,Port Blair,Chennai,08:00,10:10
552,Port Blair,Chennai,13:20,15:35
3550,Port Blair,Chennai,13:20,15:35
3788,Port Blair,Chennai,13:20,15:35
564,Bengaluru,Chennai,11:40,12:35
564,Bengaluru,Chennai,11:50,12:35
564,Bengaluru,Chennai,11:50,12:50
564,Bengaluru,Chennai,11:50,12:50
539,Coimbatore,Chennai,15:05,16:10
765,Kolkata,Chennai,14:35,17:05
508,Mumbai,Hubli,15:25,16:15
715,Imphal,Aizwal,13:15,13:55
715,Kolkata,Aizwal,10:25,11:40
711,Kolkata,Aizwal,13:00,14:05
711,Kolkata,Aizwal,13:05,14:20
493,Delhi,Surat,05:15,07:10
489,Delhi,Surat,19:05,20:40
657,Mumbai,Coimbatore,11:05,13:00
429,Chennai,Coimbatore,13:30,14:20
3425,Delhi,Jammu,07:10,08:50
821,Delhi,Jammu,10:50,12:20
449,Leh,Jammu,08:55,09:40
3426,Srinagar,Jammu,10:50,11:40
822,Srinagar,Jammu,14:20,15:05
406,Agra,Khajuraho,13:55,14:40
406,Agra,Khajuraho,13:55,14:40
435,Delhi,Bhopal,05:55,07:20
437,Delhi,Bhopal,20:00,21:05
633,Mumbai,Bhopal,06:00,07:25
631,Mumbai,Bhopal,19:40,21:00
3427,Delhi,Dibrugarh,05:00,07:40
705,Kolkata,Dibrugarh,05:55,07:25
743,Kolkata,Agartala,09:55,10:50
3743,Kolkata,Agartala,15:30,16:35
3743,Kolkata,Agartala,16:05,17:00
663,Mumbai,Goa,13:30,14:45
661,Mumbai,Goa,16:50,18:00
683,Mumbai,Goa,21:10,22:20
401,Delhi,Kolkata,06:50,09:00
764,Delhi,Kolkata,16:55,19:10
764,Delhi,Kolkata,17:05,19:10
780,Bhubaneswar,Kolkata,15:10,15:55
722,Bagdogra,Kolkata,15:40,16:45
710,Dimapur,Kolkata,13:30,14:55
710,Dimapur,Kolkata,14:50,16:50
675,Mumbai,Kolkata,06:10,08:45
774,Mumbai,Kolkata,20:30,23:15
774,Mumbai,Kolkata,20:50,23:15
714,Imphal,Kolkata,12:20,13:35
715,Imphal,Kolkata,13:35,14:45
714,Imphal,Kolkata,14:55,16:20
3714,Imphal,Kolkata,15:10,16:05
3708,Port Blair,Kolkata,23:55,02:30
772,Bengaluru,Kolkata,11:05,13:30
754,Silchar,Kolkata,07:40,08:50
754,Silchar,Kolkata,07:40,08:50
730,Guwahati,Kolkata,11:40,13:00
730,Guwahati,Kolkata,11:40,13:00
775,Guwahati,Kolkata,18:45,20:00
766,Chennai,Kolkata,11:40,13:55
715,Aizwal,Kolkata,14:30,15:35
712,Aizwal,Kolkata,14:50,16:05
715,Aizwal,Kolkata,14:30,15:40
712,Aizwal,Kolkata,14:55,15:55
3744,Agartala,Kolkata,17:10,18:15
3744,Agartala,Kolkata,17:30,18:30
746,Agartala,Kolkata,19:45,20:30
3744,Agartala,Kolkata,17:10,18:15
3744,Agartala,Kolkata,17:40,18:25
746,Agartala,Kolkata,19:45,20:30
827,Delhi,Srinagar,07:25,08:40
825,Delhi,Srinagar,10:15,11:45
448,Leh,Srinagar,08:55,09:35
3425,Jammu,Srinagar,09:30,10:10
821,Jammu,Srinagar,13:00,13:40
679,Mumbai,Mangalore,10:15,12:00
1568,Bhubaneswar,Hyderabad,09:10,10:50
1526,Kochi,Hyderabad,09:20,11:45
1526,Kochi,Hyderabad,10:10,11:45
1543,Jaipur,Hyderabad,11:45,13:45
1528,Bengaluru,Hyderabad,06:30,06:40
515,Bengaluru,Hyderabad,13:15,14:45
1516,Bengaluru,Hyderabad,14:40,15:45
1516,Bengaluru,Hyderabad,15:30,16:30
1528,Bengaluru,Hyderabad,08:40,10:45
515,Bengaluru,Hyderabad,13:25,14:45
513,Indore,Hyderabad,09:25,11:00
511,Indore,Hyderabad,17:15,18:50
511,Indore,Hyderabad,18:20,19:40
1518,Goa,Hyderabad,17:50,19:15
1518,Goa,Hyderabad,18:45,20:05
768,Bagdogra,Delhi,14:20,16:35
768,Bagdogra,Delhi,12:45,14:55
780,Imphal,Delhi,12:55,15:55
2878,Bengaluru,Delhi,04:55,07:35
722,Bengaluru,Delhi,23:25,02:10
2878,Bengaluru,Delhi,06:15,08:35
549,Ranchi,Delhi,16:55,18:50
736,Pune,Delhi,00:45,03:00
732,Pune,Delhi,18:15,20:25
789,Guwahati,Delhi,08:55,11:45
784,Guwahati,Delhi,12:30,15:20
778,Goa,Delhi,08:20,10:40
776,Goa,Delhi,15:15,18:00
799,Goa,Delhi,16:35,19:20
551,Kolkata,Delhi,07:35,10:05
716,Srinagar,Delhi,09:45,11:15
1564,Hyderabad,Bhubaneswar,11:15,13:00
536,Bengaluru,Bhubaneswar,12:00,14:00
1562,Bengaluru,Bhubaneswar,15:55,17:50
536,Bengaluru,Bhubaneswar,11:50,13:40
2383,Chennai,Bhubaneswar,19:05,20:50
1563,Kolkata,Bhubaneswar,19:55,21:05
2676,Kolkata,Nagpur,10:20,12:15
767,Delhi,Bagdogra,11:50,13:50
2392,Bengaluru,Bagdogra,10:25,12:20
2392,Bengaluru,Bagdogra,10:05,12:50
582,Kolkata,Bagdogra,09:00,10:20
589,Kolkata,Bagdogra,16:00,17:25
1529,Hyderabad,Kochi,08:05,08:55
1529,Hyderabad,Kochi,08:05,09:45
1124,Bengaluru,Kochi,12:20,13:10
1127,Bengaluru,Kochi,14:30,15:45
1129,Bengaluru,Kochi,21:05,22:15
